number,isPrime_opti_1,isPrime_opti_2,isPrime_opti_3,isPrime_opti_4,isPrime_opti_5,isPrime_opti_8,isPrime_opti_6
0,0.00002307,0.00000145,0.00000170,0.00000169,0.00006648,0.00000543,0.00000179
1,0.00003355,0.00000452,0.00000517,0.00000510,0.00008893,0.00001587,0.00000536
2,0.00007688,0.00001422,0.00001633,0.00001881,0.00011609,0.00005037,0.00001690
3,0.00015821,0.00004487,0.00005145,0.00005037,0.00015616,0.00015919,0.00005338
4,0.00013952,0.00004489,0.00005147,0.00005038,0.00015434,0.00015901,0.00005335
5,0.00044119,0.00014189,0.00016264,0.00015949,0.00021515,0.00018788,0.00016862
6,0.00139272,0.00044864,0.00052085,0.00050422,0.00021002,0.00021634,0.00058015
7,0.00442715,0.00142040,0.00163024,0.00159953,0.00026563,0.00027403,0.00219505
8,0.00697642,0.00224665,0.00255715,0.00253347,0.00029314,0.00030755,0.00280105
9,0.05739913,0.01840839,0.02098697,0.02223771,0.00033312,0.00036469,0.02346244
10,2.03597914,0.63480763,0.67679670,0.71450575,0.00066412,0.00066156,0.71518080
11,8.45775294,2.55054232,2.70656137,2.59935088,0.00087595,0.00071802,2.77319577
12,15.50035526,5.05308815,5.47192735,5.35251893,0.00077894,0.00075492,5.20075776
